username,password,id,name,role
hellochris,hellochris,40193849,Chris,Instructor
janedoe,janedoe123,40193850,Jane Doe,Student
johndoe,johndoe123,40193851,John Doe,Student
alicew,alicew123,40193852,Alice Wonderland,Student
bobsmith,bobsmith123,40193853,Bob Smith,Student
maryjane,maryjane123,40193854,Mary Jane,Instructor
peterparker,peterparker123,40193855,Peter Parker,Student
brucewayne,brucewayne123,40193856,Bruce Wayne,Instructor
clarkkent,clarkkent123,40193857,Clark Kent,Student
dianaprince,dianaprince123,40193858,Diana Prince,Student
barryallen,barryallen123,40193859,Barry Allen,Student
arthurcurry,arthurcurry123,40193860,Arthur Curry,Student
vicstone,vicstone123,40193861,Victor Stone,Student
haljordan,haljordan123,40193862,Hal Jordan,Student
kyle_rayner,kyle_rayner123,40193863,Kyle Rayner,Student
johnstewart,johnstewart123,40193864,John Stewart,Student
shayerahol,shayerahol123,40193865,Shayera Hol,Student
katarhol,katarhol123,40193866,Katar Hol,Student
zatanna,zatanna123,40193867,Zatanna Zatara,Student
oliverqueen,oliverqueen123,40193868,Oliver Queen,Instructor
dinahlance,dinahlance123,40193869,Dinah Lance,Student
royharper,royharper123,40193870,Roy Harper,Student
theaqueen,theaqueen123,40193871,Thea Queen,Student
mial,miadearden123,40193872,Mia Dearden,Student
connorhawke,connorhawke123,40193873,Connor Hawke,Student
emikqueen,emikqueen123,40193874,Emiko Queen,Student
willh,willh123,40193875,William Clayton,Student
zoe_ramirez,zoe_ramirez123,40193876,Zoe Ramirez,Student
john_diggle,john_diggle123,40193877,John Diggle,Student
felicitysmoak,felicitysmoak123,40193878,Felicity Smoak,Student
taliaalghul,taliaalghul123,40193879,Talia al Ghul,Instructor
nyssa,nyssa123,40193880,Nyssa al Ghul,Student
damianwayne,damianwayne123,40193881,Damian Wayne,Student
jason_todd,jason_todd123,40193882,Jason Todd,Student
timdrake,timdrake123,40193883,Tim Drake,Student
stephaniebrown,stephaniebrown123,40193884,Stephanie Brown,Student
cassandra_cain,cassandra_cain123,40193885,Cassandra Cain,Student
harper_row,harper_row123,40193886,Harper Row,Student
duke_thomas,duke_thomas123,40193887,Duke Thomas,Student
lucius_fox,lucius_fox123,40193888,Lucius Fox,Student
selina_kyle,selina_kyle123,40193889,Selina Kyle,Instructor
holly_robinson,holly_robinson123,40193890,Holly Robinson,Student
maggie_sawyer,maggie_sawyer123,40193891,Maggie Sawyer,Student
kate_kane,kate_kane123,40193892,Kate Kane,Student
beth_kane,beth_kane123,40193893,Beth Kane,Student
renee_montoya,renee_montoya123,40193894,Renee Montoya,Student
sasha_bordeaux,sasha_bordeaux123,40193895,Sasha Bordeaux,Student
helena_bertinelli,helena_bertinelli123,40193896,Helena Bertinelli,Student
charlotte_gage,charlotte_gage123,40193897,Charlotte Gage,Student
carrie_kelley,carrie_kelley123,40193898,Carrie Kelley,Student
