username,password,id,name,role
sasas,asasasa,3002023,asasa,student
eee3username,e3e3e3epassword,3002032,e3e3fullname,student
s5asas,asasasa,30020255,asasa,student
eee3user5name,e3e3e3epassword,30020352,e3e3fullname,student
sas5as,asasasa,30502023,asasa,student
e5ee3username,e3e3e3epassword,30052032,e3e3fullname,student
helloktty,hellokitty,2002022,someone,instructor
hellochris,hellochris,40378222,Jeff Bezos,instructor
hellochrs,hellochris,4037822,Jumbo,student

hellochs,hellochris,403782,Junior,student
